retailer_name,retailer_url
5-7-9,
Abercrombie & Fitch,
Abraham & Straus,
Acorn Stores,
Aéropostale,
Al's Formal Wear,
Aldens,
Alkemeyer Commercial Buildings,
Amazon,
American Apparel,
American Eagle Outfitters,
Anchor Blue Clothing Company,
Anderson-Little,
Andy & Evan,
Anine Bing,
Ann Inc.,
Anna Sui,
Anthropologie,
Artemiss LLC,
Ascena Retail Group,
Avenue,
B. Forman Co.,
Babette Pinsky,
Banana Republic,
Bare Necessities,
Barneys New York,
Barneys Warehouse,
Bath & Body Works,
BCBG Max Azria,
BeachMint,
Bebe Stores,
BeGood Clothing,
Ben Cooper,
Bergdorf Goodman,
Betabrand,
BHLDN,
Big M,
Bigsby & Kruthers,
BikiniLuxe,
Billionaire Boys Club,
Bloomingdale's,
Bob's Stores,
Body Central Corp.,
Bonobos,
BonWorth,
Boscov's,
Brayola,
Brideside,
Brighton Collectibles,
Brooks Brothers,
Buckle,
Buffalo Exchange,
Burberry,
Burlington Coat Factory Warehouse Corp.,
BuyCostumes.com,
C. Wonder,
Cache Inc.,
Camp Beverly Hills,
Campmor,
Carson's,
Carter's,
Cato Corporation,
Charivari,
Charles S. Richardson,
Charlotte Russe,
Charming Charlie,
Charming Shoppes,
Chess King,
Chico's FAS,
Christopher & Banks,
Citi Trends,
CJ Banks,
Claire's Stores,
Club Libby Lu,
Club Monaco,
Coach Inc.,
Coldwater Creek,
Colorado Trading & Clothing,
Cool-jams,
County Seat,
Crazy Shirts,
Dash,
Dash's Designer,
David's Bridal,
Davidson's,
De Pinna,
Deb Shops,
Delia's,
Denim & Soul,
Destination Maternity,
Destination XL Group,
Dick's Sporting Goods,
Dillard's,
DKNY,
DL1961,
Donaldson's,
Dots LLC,
DressBarn,
DSTLD,
Duluth Trading Company,
Eddie Bauer,
Eileen Fisher,
Elder-Beerman,
Enfants Riches Déprimés,
Everlane,
Ex-Boyfriend,
Express,
Fabletics,
Factory Green,
Fame and Partners,
Fanzz,
Fashion Nova,
Fashion to Figure,
FCKH8,
Femme for DKNY,
Fifth & Pacific Cos.,
Filene's,
Foley's,
Foot Locker,
Forever 21,
Forth & Towne,
Francesca's,
Fred Segal,
Frederick's of Hollywood,
Free People,
Fullbeauty Brands,
G-Unit Clothing Company,
G&L Clothing,
Gabriel Brothers Inc.,
Gant,
Gantos,
Gap,
Garfinckel's,
Garment District,
Gart Sports,
Generation Tux,
Gilly Hicks,
Gilt Groupe,
Giorgio Armani USA,
Girlshop,
Glik's,
Goody's,
Gordmans,
Gucci America,
Guess?,
Gymboree,
H&M,
Halle Brothers Co.,
Halls,
Hamilton Shirts,
Hamrick's,
Han Kjøbenhavn,
Hanesbrands,
Harry Rosen,
Harzfeld's,
Hengerer's,
Henri Bendel,
Henry's,
Herberger's,
HerRoom,
Hickey Freeman,
Holt Renfrew,
Hot Topic,
Hudson's,
Hugo Boss,
Imitation of Christ,
Individualized Apparel Group,
International Male,
Island Company,
J. Crew,
J. Jill,
J. Lindeberg,
J. Peterman Company,
J. Press,
Janie and Jack,
Jay Jacobs,
Jenni Rivera Fashion,
Jessica McClintock,
Jill Milan,
Johnny Cupcakes,
Johnston & Murphy,
Jos. A. Bank,
Karen Millen,
Karmaloop,
Kaufmann's,
Kenneth Cole Productions,
Kitson,
Kohl's,
Kuppenheimer,
L.L. Bean,
Lands' End,
Lane Bryant,
Lansky Brothers,
Laura Canada,
Lazarus,
Le Chateau,
League Collegiate Wear,
Legendary Whitetails,
Leh's,
Lids Sports Group,
Life Is Good Company,
Limited Stores,
Limited Too,
Live Breathe Futbol,
Loeb's,
Loehmann's Inc.,
Lolly Wolly Doodle,
Lucchese Boot Company,
Lucy Activewear,
LuLaRoe,
Macy's,
Manpacks,
Marciano Stores,
Mark's Work Wearhouse,
Marmot,
Marshalls,
Martin + Osa,
Maui and Sons,
Maurices,
McGinty's Department Store,
McKids,
Meier & Frank,
Mervyn's,
Milly,
ModCloth,
Monika Chiang,
Moosejaw,
Morsam Fashions,
MW Tux,
Naartjie,
Nasty Gal,
Nau,
Need Supply Co.,
Neiman Marcus,
New York & Company,
Nordstrom,
Nordstrom Rack,
Norm Thompson Outfitters,
Not Just a Label,
Nygård International,
Oaklandish,
Oakley Inc.,
Octobre,
Old Navy,
Online Ceramics,
Orr's,
Oshman's Sporting Goods,
Outdoor Research,
Outdoor Voices,
PacSun,
Palace Lodge,
Paul Stuart,
Pelle Pelle,
Peruvian Connection,
Piperlime,
Polo Ralph Lauren Corp.,
Pro Wrestling Tees,
Purple Skirt,
PVH Corp,
Quiksilver,
QVC,
Rainbow Apparel Co.,
Raleigh Haberdasher,
Ralph Lauren Corporation,
Red Dress Boutique,
Redcats USA,
REI,
Reign,
Reitmans,
Retail Brand Alliance Inc.,
Retail Slut,
Rent the Runway,
Reynolds Brothers,
Robert Hall Clothes,
Rocawear,
Rock/Creek,
Roos/Atkins,
Ross Stores,
Rue21,
Ruti Zisser,
Saks Incorporated,
Saks Off 5th,
Salkin & Linoff,
Selena Etc.,
SENE,
Sezane,
Shopbop,
Shoptiques,
Simons,
SINGER22,
Skate shop,
Skreened,
Southern Marsh Collection,
Southern Tide,
Sport Chalet,
Sports Authority,
Stage Stores,
Stanley Korshak,
State & Liberty Clothing,
Stein Mart,
Stern's,
Stitch Fix,
Strawbridge's,
Stroud's Mercantile,
Supreme,
Swimsuits For All,
Syms Corporation,
T-Shirt Hell,
Tailored Brands,
Talbots,
Target,
Tea Collection,
TechStyle Fashion Group,
Tecovas,
TeePublic,
Teespring,
The Buckle,
The Cato Corporation,
The Children's Place,
The Gymboree,
The Hempest,
The Jones Group,
The Limited,
